age pos neg ntot
 1.5  56 351  407
 2.5  48 244  292
 3.5 137 195  332
 4.5 195 173  368
 5.5 290 131  421
 6.5 255  75  330
 7.5 236  58  294
 8.5 211  47  258
 9.5 271  41  312
10.5 276  28  304
11.5 259  23  282
12.5 301  20  321
13.5 296  17  313
14.5 345  21  366
15.5 112   4  116
16.5 112   9  121
17.5 142   6  148
18.5 186  10  196
19.5 202   9  211
20.5 156   3  159
21.5 155   5  160
22.5 200   4  204
23.5 166   4  170
24.5 165   5  170
25.5 179   1  180
26.5 171   7  178
27.5 175   4  179
28.5 147   3  150
29.5 137  10  147
30.5 114   6  120
31.5 117   5  122
32.5  99   5  104
33.5  95   0   95
34.5  80   2   82
35.5  77   1   78
36.5  65   2   67
37.5  63   2   65
38.5  69   3   72
39.5  46   1   47
40.5  61   1   62
41.5  55   1   56
42.5  42   1   43
43.5  37   0   37
44.5  39   1   40
