Age	PP	PN	NP	NN
1	13	18	17	158
2	10	20	11	103
3	18	16	49	84
4	30	27	69	59
5	68	26	82	41
6	85	18	70	20
7	76	12	54	20
8	84	11	36	13
9	117	17	38	8
10	99	10	45	4
11	103	6	33	4
12	139	6	28	3
13	126	9	36	2
14	125	10	23	1
15	51	1	13	0
16	47	2	8	1
17	70	3	8	0
18	67	2	8	2
19	90	5	14	0
20	64	1	11	0
21	73	1	8	0
22	82	2	16	1
23	79	3	6	0
24	77	2	5	1
25	89	1	4	0
26	82	2	6	1
27	77	3	8	0
28	64	7	5	1
29	48	3	5	0
30	43	2	7	0
31	43	2	2	1
32	35	0	2	0
33	35	0	2	0
34	39	0	2	0
35	36	0	4	0
36	36	1	1	0
37	36	1	2	2
38	36	1	2	2
39	28	0	2	0
40	26	0	1	0
41	25	0	0	0
42	20	1	1	0
43	18	0	1	0
44	17	1	0	0
