Age   Pos   Neg
 1.5      31    175
 2.5      30    116
 3.5      34    134
 4.5      57    132
 5.5      95    124
 6.5     104     91
 7.5      90     74
 8.5      96     49
 9.5     134     46
10.5     110     50
11.5     111     37
12.5     147     31
13.5     138     39
14.5     141     24
15.5      53     14
16.5      49      9
17.5      73      8
18.5      69     10
19.5      97     14
20.5      65     11
21.5      74      8
22.5      84     17
23.5      82      6
24.5      79      6
25.5      90      4
26.5      84      7
27.5      81      8
28.5      72      4
29.5      71      8
30.5      51      5
31.5      45      7
32.5      45      3
33.5      35      2
34.5      39      2
35.5      36      4
36.5      37      1
37.5      37      2
38.5      37      4
39.5      28      2
40.5      26      1
41.5      25      0
42.5      21      1
43.5      18      1
44.5      18      0
