age	tot	pos	gender
0.08	17	2	1
0.17	2	0	1
0.25	4	1	1
0.33	2	0	1
0.42	3	0	1
0.50	1	0	1
0.58	5	0	1
0.67	4	1	1
0.75	3	0	1
0.83	0	0	1
0.92	8	0	1
1.00	34	3	1
2	17	1	1
3	15	3	1
4	12	0	1
5	15	1	1
6	8	1	1
7	8	2	1
8	15	2	1
9	12	3	1
10	15	5	1
11	13	2	1
12	12	1	1
13	8	1	1
14	17	4	1
15	4	0	1
16	12	3	1
17	14	2	1
18	16	3	1
19	4	1	1
20	9	1	1
21	12	3	1
22	9	4	1
23	13	4	1
24	8	4	1
25	7	4	1
26	5	2	1
27	11	4	1
28	6	2	1
29	21	9	1
30	5	2	1
31	3	1	1
32	2	2	1
33	2	0	1
34	7	4	1
35	8	4	1
36	4	1	1
37	5	3	1
38	7	3	1
39	6	1	1
40	4	1	1
41	3	1	1
42	5	2	1
43	1	0	1
44	3	2	1
45	2	0	1
46	2	2	1
47	2	1	1
48	1	1	1
49	2	1	1
50	3	2	1
51	1	1	1
52	4	3	1
53	2	0	1
54	1	1	1
55	1	1	1
56	0	0	1
57	1	1	1
58	0	0	1
59	2	0	1
60	3	2	1
61	0	0	1
62	3	3	1
63	0	0	1
64	0	0	1
65	0	0	1
66	1	0	1
67	2	1	1
68	0	0	1
69	0	0	1
70	0	0	1
71	0	0	1
72	0	0	1
73	0	0	1
74	0	0	1
75	0	0	1
76	0	0	1
77	0	0	1
78	0	0	1
79	0	0	1
80	0	0	1
0.08	31	4	2
0.17	2	0	2
0.25	2	0	2
0.33	1	0	2
0.42	3	1	2
0.50	4	0	2
0.58	0	0	2
0.67	3	0	2
0.75	1	0	2
0.83	0	0	2
0.92	3	0	2
1.00	30	1	2
2	20	4	2
3	8	1	2
4	13	1	2
5	11	3	2
6	18	2	2
7	7	0	2
8	18	2	2
9	3	0	2
10	22	4	2
11	13	5	2
12	11	2	2
13	9	0	2
14	16	2	2
15	5	1	2
16	5	1	2
17	23	2	2
18	7	2	2
19	10	3	2
20	11	1	2
21	10	1	2
22	13	2	2
23	10	3	2
24	7	0	2
25	12	3	2
26	10	2	2
27	11	4	2
28	12	4	2
29	6	1	2
30	6	0	2
31	5	1	2
32	5	3	2
33	1	1	2
34	7	2	2
35	5	2	2
36	5	0	2
37	7	1	2
38	4	1	2
39	6	3	2
40	1	1	2
41	1	0	2
42	0	0	2
43	2	1	2
44	5	2	2
45	4	2	2
46	3	2	2
47	2	0	2
48	6	2	2
49	0	0	2
50	1	0	2
51	1	1	2
52	2	2	2
53	3	0	2
54	0	0	2
55	1	0	2
56	0	0	2
57	2	2	2
58	3	1	2
59	1	1	2
60	1	1	2
61	2	0	2
62	1	1	2
63	1	0	2
64	0	0	2
65	0	0	2
66	0	0	2
67	0	0	2
68	0	0	2
69	2	0	2
70	1	1	2
71	0	0	2
72	1	1	2
73	0	0	2
74	1	0	2
75	0	0	2
76	0	0	2
77	0	0	2
78	0	0	2
79	0	0	2
80	1	0	2
